2022-05-20 04:28:36,779 p=102868 u=root n=ansible | PLAY [Configuring Master] *****************************************************************************************************
2022-05-20 04:34:51,073 p=102868 u=root n=ansible | TASK [k8s_slave : Join the slave and master nodes] ****************************************************************************
2022-05-20 04:34:51,159 p=102868 u=root n=ansible | skipping: [3.85.134.176]
2022-05-20 04:34:51,160 p=102868 u=root n=ansible | skipping: [54.82.86.157]
2022-05-20 04:34:51,199 p=102868 u=root n=ansible | skipping: [54.88.55.143]
2022-05-20 04:34:51,203 p=102868 u=root n=ansible | skipping: [54.235.23.38]
2022-05-20 04:34:51,210 p=102868 u=root n=ansible | TASK [k8s_slave : Configure yum for docker] ***********************************************************************************
2022-05-20 04:34:51,282 p=102868 u=root n=ansible | skipping: [3.85.134.176]
2022-05-20 04:34:51,331 p=102868 u=root n=ansible | skipping: [54.82.86.157]
2022-05-20 04:34:51,340 p=102868 u=root n=ansible | skipping: [54.235.23.38]
2022-05-20 04:34:51,355 p=102868 u=root n=ansible | skipping: [54.88.55.143]
2022-05-20 04:34:51,364 p=102868 u=root n=ansible | TASK [k8s_slave : Install docker on RedHat] ***********************************************************************************
2022-05-20 04:34:51,467 p=102868 u=root n=ansible | skipping: [3.85.134.176]
2022-05-20 04:34:51,487 p=102868 u=root n=ansible | skipping: [54.235.23.38]
2022-05-20 04:34:51,493 p=102868 u=root n=ansible | skipping: [54.82.86.157]
2022-05-20 04:34:51,543 p=102868 u=root n=ansible | skipping: [54.88.55.143]
2022-05-20 04:34:51,551 p=102868 u=root n=ansible | TASK [k8s_slave : Install Python] *********************************************************************************************
2022-05-20 04:34:51,632 p=102868 u=root n=ansible | skipping: [3.85.134.176]
2022-05-20 04:34:51,642 p=102868 u=root n=ansible | skipping: [54.82.86.157]
2022-05-20 04:34:51,656 p=102868 u=root n=ansible | skipping: [54.235.23.38]
2022-05-20 04:34:51,682 p=102868 u=root n=ansible | skipping: [54.88.55.143]
2022-05-20 04:34:51,698 p=102868 u=root n=ansible | TASK [k8s_slave : Install Docker sdk for python] ******************************************************************************
2022-05-20 04:34:51,807 p=102868 u=root n=ansible | skipping: [3.85.134.176]
2022-05-20 04:34:51,833 p=102868 u=root n=ansible | skipping: [54.82.86.157]
